"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Virus Beetle","B","C","276960","4.04","68936","5.22","371803","88.8%","55.2%","67073","56.8%","99722","57.3%","166795","57.1%","203179","53.6%","3.5pp"
"Voidforged Titan","B","U","100266","3.73","19766","4.97","94952","81.1%","52.6%","15968","50.2%","25960","54.2%","41928","52.7%","52809","52.5%","0.2pp"
"Vote Out","B","U","77711","2.95","22533","3.62","120531","88.8%","54.3%","20306","53.1%","32407","57.4%","52713","55.7%","67194","53.1%","2.6pp"
"Xu-Ifit, Osteoharmonist","B","R","22687","2.32","7886","2.52","40218","85.7%","53.6%","7027","53.3%","10691","55.3%","17718","54.5%","22236","52.8%","1.7pp"
"Zero Point Ballad","B","R","18376","1.92","10136","1.93","54679","88.9%","54.9%","9364","54.8%","14992","59.5%","24356","57.7%","29968","52.4%","5.3pp"
"Bombard","R","C","289556","4.33","48535","6.03","228288","78.3%","53.8%","39419","52.1%","57187","55.6%","96606","54.2%","130947","53.4%","0.8pp"
"Cut Propulsion","R","U","103791","3.84","23548","4.99","120766","84.7%","54.8%","20444","53.1%","30420","57.6%","50864","55.8%","69479","54.1%","1.7pp"
"Debris Field Crusher","R","U","125898","4.74","16214","6.90","52414","54.1%","52.4%","8609","49.9%","13253","54.5%","21862","52.7%","30234","52.1%","0.6pp"
"Devastating Onslaught","R","M","12236","2.60","4148","2.73","20373","81.2%","54.8%","3398","54.2%","5223","59.7%","8621","57.5%","11661","52.6%","4.9pp"
"Drill Too Deep","R","C","415195","7.89","41586","11.83","12006","4.8%","48.7%","2035","46.4%","2911","50.5%","4946","48.8%","7056","48.6%","0.2pp"
"Frontline War-Rager","R","C","404442","7.20","41392","10.92","42451","17.0%","50.8%","7356","49.5%","10050","49.9%","17406","49.7%","25052","51.6%","-1.9pp"
"Full Bore","R","U","158564","6.55","17569","9.98","19126","18.2%","51.4%","3245","49.6%","4482","52.5%","7727","51.3%","11396","51.5%","-0.2pp"
"Galvanizing Sawship","R","U","134342","5.20","17591","7.51","50833","48.8%","51.3%","8267","46.2%","12707","52.5%","20974","50.0%","29687","52.0%","-2.0pp"
"Invasive Maneuvers","R","U","89679","3.34","20942","4.26","110569","86.9%","54.8%","19222","54.5%","27346","56.3%","46568","55.6%","63611","54.2%","1.4pp"
"Kav Landseeker","R","C","338132","5.13","61558","7.03","289865","76.7%","55.5%","49136","54.8%","72433","57.3%","121569","56.3%","167898","54.9%","1.4pp"
"Kavaron Harrier","R","U","114856","4.25","20071","5.77","93374","77.1%","54.5%","16822","58.2%","22678","54.7%","39500","56.2%","52764","53.2%","3.0pp"
"Kavaron Skywarden","R","C","405602","7.14","44703","10.71","53073","19.8%","51.8%","8653","50.2%","13372","52.8%","22025","51.8%","31143","51.7%","0.0pp"
"Kavaron Turbodrone","R","C","393887","6.66","46543","9.87","98478","35.4%","52.1%","17185","51.2%","23678","52.0%","40863","51.6%","57550","52.4%","-0.7pp"
"Lithobraking","R","U","150353","6.07","17842","9.12","27797","25.9%","52.1%","4973","49.3%","6764","53.4%","11737","51.7%","16018","52.4%","-0.8pp"
"Melded Moxite","R","C","369939","5.87","56069","8.33","205063","60.2%","54.9%","37291","55.5%","50769","56.3%","88060","56.0%","116531","54.0%","1.9pp"
"Memorial Team Leader","R","U","135290","5.15","17405","7.64","53726","51.1%","53.3%","8995","52.2%","12947","54.5%","21942","53.6%","31796","53.0%","0.6pp"
"Memorial Vault","R","R","58548","5.35","8085","7.95","9037","18.5%","50.7%","1494","46.7%","2460","53.4%","3954","50.9%","5056","50.6%","0.3pp"
"Molecular Modifier","R","U","124431","4.65","19137","6.54","81028","69.8%","53.9%","14253","53.8%","19524","54.7%","33777","54.3%","47213","53.6%","0.8pp"
"Nebula Dragon","R","C","393776","6.55","62924","9.14","177873","46.4%","55.3%","29222","52.3%","45721","58.6%","74943","56.2%","102605","54.6%","1.6pp"
"Nova Hellkite","R","R","15128","1.61","10016","1.58","56271","90.2%","56.7%","9735","59.9%","14326","63.7%","24061","62.1%","32058","52.6%","9.6pp"
"Orbital Plunge","R","C","259980","3.92","66988","4.95","357270","86.9%","55.6%","60889","55.0%","90630","58.5%","151519","57.1%","204289","54.4%","2.7pp"
"Oreplate Pangolin","R","C","331682","5.05","49694","7.23","230770","77.5%","53.6%","41401","54.4%","57236","53.4%","98637","53.8%","131664","53.5%","0.3pp"
"Pain for All","R","R","24956","2.55","7759","2.80","38772","83.3%","53.5%","6335","51.7%","9773","56.3%","16108","54.5%","22543","52.7%","1.8pp"
"Plasma Bolt","R","C","294860","4.39","52533","6.07","251967","78.9%","54.7%","43913","53.9%","62796","56.8%","106709","55.6%","144533","54.1%","1.5pp"
"Possibility Technician","R","R","19101","2.00","10950","1.98","61193","89.4%","56.9%","10996","61.7%","15424","60.2%","26420","60.8%","34583","53.8%","7.0pp"
"Red Tiger Mechan","R","C","393327","6.89","38346","10.58","50864","22.3%","49.7%","8932","47.4%","12444","50.8%","21376","49.4%","29415","49.9%","-0.5pp"
"Remnant Elemental","R","U","155004","6.16","18792","9.21","35846","31.8%","52.9%","6573","53.6%","8274","50.7%","14847","52.0%","21004","53.5%","-1.5pp"
"Rig for War","R","C","420290","8.03","45227","11.76","17803","6.5%","52.0%","2912","48.4%","4106","52.6%","7018","50.8%","10787","52.7%","-1.9pp"
"Roving Actuator","R","U","152122","6.01","19006","8.92","31273","27.4%","52.7%","5293","49.6%","7901","54.2%","13194","52.4%","18021","52.9%","-0.5pp"
"Ruinous Rampage","R","U","168519","7.39","17387","11.27","1919","1.8%","44.2%","319","","462","","781","42.8%","1139","45.1%","-2.4pp"
"Rust Harvester","R","R","22915","2.38","9319","2.45","47785","84.1%","55.1%","8454","58.0%","12295","58.2%","20749","58.1%","26271","52.5%","5.6pp"
"Slagdrill Scrapper","R","C","392671","6.58","51780","9.56","139988","44.8%","53.8%","24796","53.6%","35252","54.6%","60048","54.2%","78613","53.4%","0.7pp"
"Systems Override","R","U","148943","5.95","20328","8.59","42167","34.4%","54.2%","6998","51.6%","10982","58.7%","17980","55.9%","24149","53.0%","3.0pp"
"Tannuk, Steadfast Second","R","M","9784","2.03","3527","2.10","17250","82.0%","53.8%","2960","51.9%","4352","56.1%","7312","54.4%","9886","53.2%","1.2pp"
"Terminal Velocity","R","R","57661","5.43","7309","8.31","4709","10.8%","48.3%","768","46.1%","1214","45.8%","1982","45.9%","2722","50.0%","-4.1pp"
"Terrapact Intimidator","R","U","68871","2.67","26775","3.00","148564","89.3%","56.7%","27262","62.3%","36613","57.7%","63875","59.7%","84448","54.5%","5.2pp"
"Territorial Bruntar","R","U","110408","4.16","21930","5.50","99213","74.7%","54.5%","16219","53.0%","25261","57.5%","41480","55.7%","57918","53.5%","2.2pp"
"Vaultguard Trooper","R","U","140440","5.30","19743","7.73","67187","56.3%","53.9%","10964","51.5%","16700","55.3%","27664","53.8%","39605","53.8%","-0.0pp"
